title,date,author,link,category,website,content
"Isak Tangis Keluarga Sambut Jenazah Pasutri Sertu Eka & Sri Lestari, Korban Pembunuhan OTK di Papua",2-4-2022,Dewi Agustina,https://www.tribunnews.com/regional/2022/04/02/isak-tangis-keluarga-sambut-jenazah-pasutri-sertu-eka-sri-lestari-korban-pembunuhan-otk-di-papua,biasa,tribun.com,"Laporan Wartawan Tribun Jatim Network, Febrianto RamadaniTRIBUNNEWS.COM, SIDOARJO - Jenazah Prajurit TNI Sertu Eka Andrianto Hasugian (28) bersama jenazah istrinya, Sri Lestari Indah Putri (33) tiba di rumah duka, Dusun Sawo, Desa Dungus, Kecamatan Sukodono, Kabupaten Sidoarjo, Jumat (1/4/2022) sekitar pukul 19.30 WIB.Isak tangis keluarga menyambut kedatangan jenazah suami istria korban pembunuhan di Kabupaten Yalimo, Papua itu.Sertu Eka Andrianto Hasugian dan istrinya Sri Lestari Indah Putri menjadi korban pembunuhan OTK (Orang Tidak Dikenal) di Kabupaten Yalimo, Papua, Kamis (31/3/2022).Sertu Eka ditembak hingga meninggal, sedangkan sang istri wafat akibat bacokan senjata tajam.Sertu Eka Andriyanto dimakamkan di TPU Desa Dungus Sidoarjo.Sementara istrinya rencananya akan dimakamkan di kampung halamanya, Pati, Jawa Tengah.Setibanya di lokasi rumah duka, dilakukan salat jenazah oleh keluarga dan prajurit TNI.Selanjutnya pada pukul 20.05 WIB, jenazah Sertu Eka langsung diberangkatkan ke tempat pemakaman umum desa setempat.Sertu Eka Andriyanto bersama istrinya, meninggalkan dua anak berusia 4 dan 5 tahun."
Presiden Ukraina Ingatkan Eropa Tidak Boleh Diam Saja Melihat Apa yang Terjadi di Mariupol,2-4-2022,Fitri Wulandari,https://www.tribunnews.com/internasional/2022/04/02/presiden-ukraina-ingatkan-eropa-tidak-boleh-diam-saja-melihat-apa-yang-terjadi-di-mariupol,biasa,tribun.com,"TRIBUNNEWS.COM, KIEV - Presiden Ukraina Volodymyr Zelenskyy mengatakan dalam videonya bahwa Eropa 'tidak boleh tinggal diam' dalam menanggapi apa yang terjadi di Mariupol.Menurutnya, seluruh dunia harus bereaksi terhadap bencana kemanusiaan ini.""Situasinya tetap sangat sulit di timur negara kami. Rusia menarik pasukan ke arah Donbass dan ke arah Kharkiv, mereka sedang mempersiapkan serangan baru yang kuat. Kami sedang mempersiapkan pertahanan yang lebih proaktif. Kami menggunakan semua peluang, baik internal maupun eksternal, itu pasti,"" kata Zelenskyy.Dikutip dari laman Ukrinform, Sabtu (2/4/2022), ia pun menekankan bahwa semua orang, termasuk warganya ingin mendapatkan kedamaian.""Saya tekankan sekali lagi, pertempuran sulit masih terbentang di depan. Masih tidak mungkin untuk menganggap bahwa kami telah lulus semua tes, kami semua ingin menang, tapi semua orang akan melihatnya ketika ini terjadi. Semua orang akan merasakan bahwa perdamaian akan datang,"" jelas Zelensky.Zelenskyy kemudian menyampaikan bahwa ia telah melakukan pembicaraan dengan Presiden Prancis Emmanuel Macron Jumat kemarin, tentang situasi kemanusiaan di kota-kota Ukraina yang berada di bawah serangan Rusia.""Situasi di Mariupol dibahas secara terpisah. Untuk ini, saya berharap, mungkin masih ada solusi. Eropa tidak memiliki hak untuk menanggapi dengan diam apa yang terjadi di Mariupol. Seluruh dunia harus bereaksi terhadap bencana kemanusiaan ini,"" tegas Zelenskyy.Perlu diketahui, saat ini, koridor kemanusiaan dibuka di 3 wilayah yakni Donetsk, Lugansk, dan Zaporizhia.Sebanyak 6.266 orang berhasil diselamatkan, khususnya 3.071 orang dari Mariupol.Sebelumnya, Presiden Rusia Vladimir Putin sebelumnya mengatakan dalam pidato yang disiarkan televisi nasional negara itu pada 24 Februari lalu bahwa sebagai tanggapan atas permintaan para Kepala Republik Donbass, ia telah membuat keputusan untuk melakukan operasi militer khusus ke Ukraina.Operasi ini dilakukan untuk melindungi orang-orang 'yang telah mengalami pelecehan dan genosida oleh rezim Ukraina selama 8 tahun'.Kendati demikian, pemimpin Rusia itu menekankan bahwa negaranya tidak memiliki rencana untuk menduduki wilayah Ukraina.Ia juga menekankan operasi tersebut ditujukan untuk 'denazifikasi dan demiliterisasi Ukraina'.Sementara itu, negara Barat telah memberlakukan sanksi besar-besaran terhadap Rusia karena melakukan invasi ke Ukraina.Penerapan sanksi ditujukan terhadap badan hukum maupun individu swasta Rusia."
Daftar Harga BBM Pertamina 2022 Terbaru di Seluruh Indonesia: Paling Mahal Pertamax Turbo Rp 15.100,2-4-2022,Yunita Rahmayanti,https://www.tribunnews.com/bisnis/2022/04/02/daftar-harga-bbm-pertamina-2022-terbaru-di-seluruh-indonesia-paling-mahal-pertamax-turbo-rp-15100,biasa,tribun.com,"TRIBUNNEWS.COM - PT Pertamina (Persero) resmi menaikan harga BBM RON 92, Pertamax menjadi Rp 12.500 per liter, mulai berlaku per 1 April 2022.Pertamina berharap masyarakat tetap memilih BBM Non Subsidi yang lebih berkualitas.Irto Ginting, Pjs. Corporate Secretary PT Pertamina Patra Niaga, SH C&T PT Pertamina (Persero) menerangkan, harga baru ini masih terjangkau khususnya untuk masyarakat mampu, seperti dilaporkan oleh Tribunnews.Besaran harga BBM Pertamina terbaru 2022 berbeda-beda, karena tergantung pada jenis BBM dan area penjualan.Harga BBM 2022 yang berlaku seragam di seluruh wilayah Indonesia hanya Pertalite, yaitu Rp 7.650 per liter.BBM Pertamina 2022 yang paling mahal dalam daftar di bawah ini adalah Pertamax Turbo seharga Rp 15.100.Berikut ini harga BBM hari ini, dikutip dari laman My Pertamina.Daftar Harga BBM Pertamina 2022 terbaru di SumateraProvinsi Nanggroe Aceh Darussalam- Pertalite: Rp 7.650- Pertamax: Rp 12.500- Pertamax Turbo : Rp 14.500- Dexlite: Rp 12.950- Pertamina Dex: Rp 13.700"
"PBB akan Bertolak ke Moskow dan Kyiv, Bahas Upaya Gencatan Senjata",2-4-2022,Dewi Agustina,https://www.tribunnews.com/internasional/2022/04/02/pbb-akan-bertolak-ke-moskow-dan-kyiv-bahas-upaya-gencatan-senjata,biasa,tribun.com,"TRIBUNNEWS.COM, MARIUPOL - International Committee of the Red Cross (ICRC) atau Komite Internasional Palang Merah mengatakan akan mencoba lagi untuk mengevakuasi warga sipil Ukraina dari Kota Mariupol yang terkepung, setelah konvoi harus kembali pada hari Jumat.Dikutip dari laman Aljazeera, lebih dari 6.200 orang dievakuasi dari kota-kota Ukraina pada hari Jumat, kata seorang pejabat senior.Kepala Kemanusiaan PBB akan melakukan perjalanan ke Moskow pada hari Minggu (3/4/2022) dan kemudian ke Kyiv untuk membahas upaya gencatan senjata, kata Sekretaris Jenderal PBB Antonio Guterres.AS mengatakan pihaknya akan menyediakan pasokan kepada Ukraina untuk menanggapi potensi serangan kimia Rusia.Lusinan situs budaya Ukraina telah rusak dalam perang, demikian pernyataan UNESCO.Sebelumnya Palang Merah Internasional mengatakan tim yang dikirim untuk memfasilitasi evakuasi ribuan warga sipil dari Mariupol telah dipaksa untuk berbalik setelah kondisi membuatnya ""tidak mungkin untuk melanjutkan"".Dikutip dari laman Aljazeera, Wali Kota Kyiv mengatakan pertempuran ""besar"" sedang terjadi di utara dan timur ibu kota Ukraina.Wali kota juga memperingatkan orang-orang agar tidak kembali ke kota untuk saat ini.Kepala pengawas nuklir PBB akan memimpin misi ke pabrik Chernobyl Ukraina yang sudah tidak berfungsi ""sesegera mungkin"".Moskow mengatakan dugaan serangan Ukraina terhadap depot bahan bakar di Belgorod tidak menciptakan ""kondisi yang nyaman"" untuk pembicaraan antara kedua belah pihak."
"Terkuak, Video Syur Dea Onlyfans Bersama Pacar Dibuat Pada Awal 2022",2-4-2022,Fandi Permana,https://www.tribunnews.com/metropolitan/2022/04/02/terkuak-video-syur-dea-onlyfans-bersama-pacar-dibuat-pada-awal-2022,biasa,tribun.com,"TRIBUNNEWS.COM, JAKARTA - Direktorat Reserse Kriminal Khusus Polda Metro Jaya menyelidiki penyebaran kasus pornografi yang menjerat Gusti Ayu Dewanti alias Dea Onlyfans.Usai ditetapkan sebagai tersangka, polisi memeriksa lawan main Dea OnlyFans, Dicky Reno Zulpratomo.Sosok pria ini merupakan pemeran pria yang diperiksa sebagai saksi dalam kasus konten pornografi Dea Onlyfans.Kepada penyidik, pria berusia 32 tahun itu mengaku video itu dibuat bersama Dea dibuat sejak awal tahun 2022.""Kalau Dea mulai buat video itu (konten pornografi) 2019. Tapi kalau dengan pria ini awal tahun 2022,"" kata Direktur Reserse Kriminal Khusus Polda Metro Jaya Kombes Auliansyah Lubis di Mapolda Metro Jaya, Jakarta, Jumat (1/4/2022).Selain itu, polisi juga menyita akun Google Drive milik Dea yang berisi video-video porno yang diduga dilakukan pemeran pria selain pacarnya.Auliansyah menduga ada pria lain yang menjadi lawan main Dea dalam konten pornografi.Selain itu, pengembangan ini dilakukan untuk mencari pemeran pria lain selain kekasih Dea yang bernama Dicky Reno Zulpratomo.""Sedang kita analisa nanti dengan siapa saja dia melakukan itu. Karena untuk saat ini video yang tersebar saat ini baru dengan pacarnya ini yang tadi kita periksa,"" terangnya.Untuk pacar Dea sendiri saat ini masih berstatus saksi.Dicky diketahui menjadi lawan main Dea dalam video syur yang banyak beredar di media sosial sejak beberapa bulan terakhir.Polisi belum menetapkan Dicky sebagai tersangka usai dilakukan pemeriksaan sebagai saksi atas kasus Dea.Hal itu karena ia mengaku tak tahu menahu jika adegan yang direkam Dea akan diunggah ke Onlyfans.""Jadi di UU ITE-nya kita belum bisa terapkan, karena yang bersangkutan tak tahu kalau itu diunggah ke Onlyfans. Sementara kalau kita masukan ke UU pornografi juga tidak bisa karena yang bersangkutan itu memang hanya untuk mereka berdua saja,"" pungkas Auliansyah."
Royal Enfield Pamerkan Motor Kustom Hasil Kolaborasi dengan Eiger,2-4-2022,Hari Darmawan,https://www.tribunnews.com/otomotif/2022/04/02/royal-enfield-pamerkan-motor-kustom-hasil-kolaborasi-dengan-eiger,biasa,tribun.com,"Laporan Wartawan Tribunnews.com, Hari DarmawanTRIBUNNEWS.COM, JAKARTA - Royal Enfield memamerkan sepeda motor kustom hasil kolaborasi dengan Eiger di pameran Indonesia International Motor Show (IIMS) 2022.Selain memamerkan motor hasil kolaborasi dengan Eiger, merek motor ini juga menyediakan kit Smoked Garage Limited edition untuk pemilik motor RE.Business Head of Asia Pacific Markets Royal Enfield mengatakan, Indonesia telah menjadi bagian penting dari pertumbuhan Royal Enfield di kawasan Asia Pasifik. “Kami memiliki roadmap yang kuat untuk mengakselerasi pertumbuhan strategis di Indonesia,” ujar Anuj, Sabtu (2/4/2022).Royal Enfield juga memamerkan beberapa motor lain seperti all-new Classic 350, Himalayan, 650 Twins yakni Continental GT 650 dan Interceptor 650 yang tampil hadir dengan warna baru.Ada juga Himalayan, Twins, Classic 350 terbaru dan sepeda motor kustom versi upgrade. dengan sentuhan baru seperti penambahan fitur Royal Enfield Tripper.Fitur tersebut merupakan perangkat navigasi secara real-time yang dibangun dengan Google Maps Platform dan terhubung dengan aplikasi Royal Enfield di smartphone.Versi baru Himalayan meningkatkan keamanan pengendara dengan Switchable Anti-brake System (ABS) agar memiliki kontrol yang lebih besar dan pengalaman riding lebih aman.Country Marketing Manager Royal Enfield Anindya Dwiasti mengatakan, seri Royal Enfield All-new Classic 350 ini dibanderol dengan harga mulai dari Rp 105 juta."
"Terkuak, Video Syur Dea Onlyfans Bersama Pacar Dibuat Pada Awal 2022",2-4-2022,Fandi Permana,https://www.tribunnews.com/metropolitan/2022/04/02/terkuak-video-syur-dea-onlyfans-bersama-pacar-dibuat-pada-awal-2022,biasa,tribun.com,"TRIBUNNEWS.COM, JAKARTA - Direktorat Reserse Kriminal Khusus Polda Metro Jaya menyelidiki penyebaran kasus pornografi yang menjerat Gusti Ayu Dewanti alias Dea Onlyfans.Usai ditetapkan sebagai tersangka, polisi memeriksa lawan main Dea OnlyFans, Dicky Reno Zulpratomo.Sosok pria ini merupakan pemeran pria yang diperiksa sebagai saksi dalam kasus konten pornografi Dea Onlyfans.Kepada penyidik, pria berusia 32 tahun itu mengaku video itu dibuat bersama Dea dibuat sejak awal tahun 2022.""Kalau Dea mulai buat video itu (konten pornografi) 2019. Tapi kalau dengan pria ini awal tahun 2022,"" kata Direktur Reserse Kriminal Khusus Polda Metro Jaya Kombes Auliansyah Lubis di Mapolda Metro Jaya, Jakarta, Jumat (1/4/2022).Selain itu, polisi juga menyita akun Google Drive milik Dea yang berisi video-video porno yang diduga dilakukan pemeran pria selain pacarnya.Auliansyah menduga ada pria lain yang menjadi lawan main Dea dalam konten pornografi.Selain itu, pengembangan ini dilakukan untuk mencari pemeran pria lain selain kekasih Dea yang bernama Dicky Reno Zulpratomo.""Sedang kita analisa nanti dengan siapa saja dia melakukan itu. Karena untuk saat ini video yang tersebar saat ini baru dengan pacarnya ini yang tadi kita periksa,"" terangnya.Untuk pacar Dea sendiri saat ini masih berstatus saksi.Dicky diketahui menjadi lawan main Dea dalam video syur yang banyak beredar di media sosial sejak beberapa bulan terakhir.Polisi belum menetapkan Dicky sebagai tersangka usai dilakukan pemeriksaan sebagai saksi atas kasus Dea.Hal itu karena ia mengaku tak tahu menahu jika adegan yang direkam Dea akan diunggah ke Onlyfans.""Jadi di UU ITE-nya kita belum bisa terapkan, karena yang bersangkutan tak tahu kalau itu diunggah ke Onlyfans. Sementara kalau kita masukan ke UU pornografi juga tidak bisa karena yang bersangkutan itu memang hanya untuk mereka berdua saja,"" pungkas Auliansyah."
"Jadwal Imsakiyah Ramadhan 2022/1443 H di Kota Medan, Lengkap dengan Niat Puasa",2-4-2022,Daryono,https://www.tribunnews.com/ramadan/2022/04/02/jadwal-imsakiyah-ramadhan-20221443-h-di-kota-medan-lengkap-dengan-niat-puasa,biasa,tribun.com,"TRIBUNNEWS.COM - Berikut ini jadwal Imsakiyah Ramadhan 2022/1443 H untuk Kota Medan, Sumatera Utara.Jadwal Imsakiyah Ramadan ini memuat di antaranya jadwal imsak dan buka puasa.Diketahui, Pemerintah telah menetapkan awal Puasa Ramadhan 2022 jatuh pada Minggu (3/4/2022).Sebagai panduan waktu Imsak dan berbuka, berikut ini jadwal Imsakiyah Ramadhan 2022 untuk Kota Medan sebagaimana dikutip dari laman Bimas Islam Kemenag:1 Ramadan 1443 H (3 April 2022)IMSAK 05:00SUBUH 05:10TERBIT 06:21 DUHA 06:48ZUHUR 12:32ASAR 15:34MAGRIB 18:37ISYA' 19:452 Ramadan 1443 H (4 April 2022)IMSAK 04:59SUBUH 05:09TERBIT 06:21DUHA 06:48ZUHUR 12:32ASAR 15:35MAGRIB 18:36ISYA' 19:453 Ramadan 1443 H (5 April 2022)IMSAK 04:59SUBUH 05:09TERBIT 06:20DUHA 06:48ZUHUR 12:32ASAR 15:35MAGRIB 18:36ISYA' 19:45"
"Minum Es Saat Berbuka Puasa Memang Segar, Tapi Awas Bisa Picu Gigi Sensitif",2-4-2022,Rina Ayu Panca Rini,https://www.tribunnews.com/kesehatan/2022/04/02/minum-es-saat-berbuka-puasa-memang-segar-tapi-awas-bisa-picu-gigi-sensitif,biasa,tribun.com,"Laporan Wartawan Tribunnews.com, Rina AyuTRIBUNNEWS.COM, JAKARTA -- Minuman dingin seperti es teh sangatlah nikmat dikomsumsi sebagai pelepas dahaga kala berbuka puasa.Namun langsung minum es ketika berbuka puasa tenyata tak baik bagi gigi.Dokter gigi R. Ngt Anastasia Ririen Pramudyawati mengatakan, kebiasaan itu dapat memicu gigi sensitif.Gigi sensitif terjadi ketika lapisan dentin gigi terbuka, sehingga bagian akar gigi yang memiliki banyak saraf jadi lebih mudah terpapar rangsangan tertentu, misalnya suhu panas atau dingin, serta makanan atau minuman yang manis dan asam.""Apabila kita makan atau minum air panas tiba-tiba atau sangat dingin tiba-tiba bisa memicu kejadian dentin terbuka pada gilirannya akan memicu kejadian sensitif dentin,"" kata dia dalam talkshow Tribun, Jumat malam (1/4/2022).Dokter RS Permata Pamulang ini mengatakan, saat udara panas tubuh memang membutuhkan sesuatu yang dingin.Namun ada baiknya untuk tetap mengkomsumsi minuman yang bersuhu kurang lebih sekitar 37 derajat.""Jadi membutuhkan suatu keadaan yang ke arah normal. Tubuh kita membutuhkan keseimbangan mencapai kondisi dengan minum yang tidak terlalu dingin atau minuman panas saat cuaca sedang dingin,"" kata dia.Ia menuturkan, pada sebagian orang, keluhan gigi sensitif dapat reda sendiri dengan perawatan gigi yang benar.Tapi saat keluhan gigi sensitif tak kunjung hilang atau justru semakin parah meski sudah merawat gigi dengan baik, periksakanlah kondisi gigi ke dokter gigi.""Segera agar keluhan tersebut dapat diatasi dengan tepat,"" pesannya."
Mengapa Kurma Baik untuk Buka Puasa? Berikut Kandungan Gizi yang Dimiliki,2-4-2022,Yurika Nendri Novianingsih,https://www.tribunnews.com/ramadan/2022/04/02/mengapa-kurma-baik-untuk-buka-puasa-berikut-kandungan-gizi-yang-dimiliki,biasa,tribun.com,"TRIBUNNEWS.COM - Umat Muslim di seluruh dunia telah memasuki bulan Ramadhan.Puasa berarti menahan diri dari makan dan minum serta hal-hal yang membatalkan, mulai matahari terbit hingga terbenam.Nah, kurma biasanya menjadi camilan yang sangat populer saat buka puasa saat Ramadhan.Namun, tahukah Anda mengapa kurma baik untuk berbuka puasa?Selama bulan Ramadhan, tubuh dapat mengalami berbagai masalah kesehatan seperti sakit kepala, lemas, dan gula darah rendah.Buka puasa dengan kurma dianggap baik karena kurma memiliki banyak sekali manfaat kesehatan dan gizi.Dikutip dari Medical News Today, berikut ini informasi gizi dari kurma:Kalori: 20Total lemak: 0,03 gram (g)Total karbohidrat: 5,33 g"
