Tanggal : 28-04-2022 17:42:55 | Waktu Scraping Liputan6.com : 79.03663754463196 detik | Banyak row : 82 | Banyak column : 7 
Tanggal : 28-04-2022 17:42:55 | Waktu Scraping Tribunnews.com : 5.573131084442139 detik | Banyak row : 59 | Banyak column : 7 
Tanggal : 28-04-2022 17:42:55 | Waktu Scraping Detik.com : 105.54834604263306 detik | Banyak row : 44 | Banyak column : 7 
Tanggal : 28-04-2022 17:42:55 | Waktu Scraping Total Waktu Scraping Ketiga Website : 190.15811467170715 detik | Banyak row : 185 | Banyak column : 7.0 
Tanggal : 28-04-2022 18:42:58 | Waktu Scraping Liputan6.com : 59.912383794784546 detik | Banyak row : 83 | Banyak column : 7 
Tanggal : 28-04-2022 18:42:58 | Waktu Scraping Tribunnews.com : 5.239772796630859 detik | Banyak row : 59 | Banyak column : 7 
Tanggal : 28-04-2022 18:42:58 | Waktu Scraping Detik.com : 103.89773035049438 detik | Banyak row : 43 | Banyak column : 7 
Tanggal : 28-04-2022 18:42:58 | Waktu Scraping Total Waktu Scraping Ketiga Website : 169.0498869419098 detik | Banyak row : 185 | Banyak column : 7.0 
Tanggal : 28-04-2022 19:43:00 | Waktu Scraping Liputan6.com : 61.38015937805176 detik | Banyak row : 82 | Banyak column : 7 
Tanggal : 28-04-2022 19:43:00 | Waktu Scraping Tribunnews.com : 5.093111753463745 detik | Banyak row : 62 | Banyak column : 7 
Tanggal : 28-04-2022 19:43:00 | Waktu Scraping Detik.com : 104.61925387382507 detik | Banyak row : 43 | Banyak column : 7 
Tanggal : 28-04-2022 19:43:00 | Waktu Scraping Total Waktu Scraping Ketiga Website : 171.09252500534058 detik | Banyak row : 187 | Banyak column : 7.0 
Tanggal : 28-04-2022 20:43:02 | Waktu Scraping Liputan6.com : 67.76718854904175 detik | Banyak row : 83 | Banyak column : 7 
Tanggal : 28-04-2022 20:43:02 | Waktu Scraping Tribunnews.com : 5.750871181488037 detik | Banyak row : 62 | Banyak column : 7 
