title,date,author,link,category,website
"Addie MS Aksi di Depan Kedubes Rusia, Minta Rusia Setop Perang Sambil Bawakan Lagu Rayuan Pulau Kelapa",30 Maret 2022 16:40 WIB,Aditia Saputra,https://www.liputan6.com/showbiz/read/4925336/addie-ms-aksi-di-depan-kedubes-rusia-minta-rusia-setop-perang-sambil-bawakan-lagu-rayuan-pulau-kelapa?medium=Headline&campaign=Headline_click_1,biasa,liputan.com
KPK Seret Eks Gubernur Riau Annas Maamun ke Jakarta,30 Maret 2022 16:54 WIB,Fachrur Rozie,https://www.liputan6.com/news/read/4925386/kpk-seret-eks-gubernur-riau-annas-maamun-ke-jakarta,biasa,liputan.com
Jadwal MotoGP Argentina: Balapan Spesial Tanpa Marc Marquez,30 Maret 2022 16:30 WIB,Marco Tampubolon,https://www.liputan6.com/bola/read/4925322/jadwal-motogp-argentina-balapan-spesial-tanpa-marc-marquez,biasa,liputan.com
Daikin Ceiling Mounted Cassette Round Flow: AC Hemat dan Minimalis untuk Ruang Usaha Kekinian,25 Maret 2022 13:16 WIB,Gilar Ramdhani,https://www.liputan6.com/lifestyle/read/4918488/daikin-ceiling-mounted-cassette-round-flow-ac-hemat-dan-minimalis-untuk-ruang-usaha-kekinian,biasa,liputan.com
Wawancara Dubes Vasyl Hamianin: Jalan Panjang Harapan Ukraina Akhiri Perang dengan Rusia,25 Maret 2022 20:40 WIB,Tanti Yulianingsih,https://www.liputan6.com/global/read/4921414/wawancara-dubes-vasyl-hamianin-jalan-panjang-harapan-ukraina-akhiri-perang-dengan-rusia,biasa,liputan.com
"Penggalan Cerita Seru Nonton MotoGP Mandalika, Sinyal Lancar XL Bikin Penonton Senang",25 Maret 2022 17:10 WIB,Gilar Ramdhani,https://www.liputan6.com/bola/read/4921379/penggalan-cerita-seru-nonton-motogp-mandalika-sinyal-lancar-xl-bikin-penonton-senang,biasa,liputan.com
"VIDEO: Terlempar dari Angkot, Seorang Pelajar Terpelanting dan Tersungkur di Jalan",30 Maret 2022 15:30 WIB,Azis Wahyu Saputra,https://hot.liputan6.com/read/4925107/video-terlempar-dari-angkot-seorang-pelajar-terpelanting-dan-tersungkur-di-jalan,biasa,liputan.com
FOTO: Gedung Pemerintah di Kota Mykolaiv Hancur Dirudal Rusia,30 Maret 2022 15:00 WIB,Johan Fatzry,https://www.liputan6.com/global/read/4924480/foto-gedung-pemerintah-di-kota-mykolaiv-hancur-dirudal-rusia,biasa,liputan.com
Infografis Tarif PPN 11 Persen Berlaku 1 April 2022,30 Maret 2022 09:01 WIB,Anri Syaiful,https://www.liputan6.com/news/read/4924656/infografis-tarif-ppn-11-persen-berlaku-1-april-2022,biasa,liputan.com
Bola Ganjil: Jejak Superioritas Klub Italia di Eropa,29 Maret 2022 00:30 WIB,Harley Ikhsan,https://www.liputan6.com/bola/read/4923570/bola-ganjil-jejak-superioritas-klub-italia-di-eropa,biasa,liputan.com
"Merasa Kasihan, Wanita Ini Rela Rambutnya Jadi Sarang Burung Selama 3 Bulan",30 Maret 2022 17:15 WIB,Ibrahim Hasan,https://hot.liputan6.com/read/4925304/merasa-kasihan-wanita-ini-rela-rambutnya-jadi-sarang-burung-selama-3-bulan,biasa,liputan.com
