,Author,Judul Berita,Date,Link,Content
0,Igman Ibrahim,"Bareskrim Panggil Fakariz, Guru Indra Kenz Sekaligus Perekrut Affiliator Binomo Kamis Pekan Ini",29 Maret 2022 09:51 WIB,https://www.tribunnews.com/nasional/2022/03/29/bareskrim-panggil-fakariz-guru-indra-kenz-sekaligus-perekrut-affiliator-binomo-kamis-pekan-ini,"Laporan Wartawan Tribunnews.com, Igman IbrahimTRIBUNNEWS.COM, JAKARTA - Bareskrim Polri kembali memanggil Fakar Suhartami Pratama atau Fakarich, guru tersangka kasus Binomo Indra Kesuma alias Indra Kenz.Pemanggilan direncanakan akan berlangsung, Kamis (31/3/2022).Kabag Penum Divisi Humas Polri Kombes Pol Gatot Repli Handoko menyampaikan bahwa pemanggilan tersebut merupakan pemanggilan kedua terhadap Fakarich.""Panggilan kedua hari Kamis tanggal 31 Maret 2022 jam 10.00 WIB terhadap saudara FSP alias Fakarich,"" ujar Gatot saat dikonfirmasi, Selasa (29/3/2022).Gatot menjelaskan bahwa Fakarich bakal diperiksa sebagai saksi dalam kasus Binomo.Dia diduga sebagai sosok yang kerap merekrut afiliator Binomo.""Terkait peran yang bersangkutan selaku perekrut para afiliator,"" katanya.Diberitakan sebelumnya, Bareskrim Polri memperbarui informasi soal pemanggilan Fakarich yang disebut-sebut guru atau mentor trading Indra Kenz dalam kasus dugaan penipuan binary option melalui aplikasi Binomo.Menurut Kepala Bagian Penerangan Masysarakat (Kabag Penum) Divisi Humas Polri, Kombes Pol Gatot Repli Handoko, Fakarich kerap merekrut afiliator Binomo melalui media sosial."
1,Katarina Retri Yudita,"Doddy Sudrajat Kembali Absen Sidang Perceraian, Kuasa Hukum Puput: Tidak Ada Kabar dan Alasan",29 Maret 2022 08:45 WIB,https://www.tribunnews.com/seleb/2022/03/29/doddy-sudarajat-kembali-absen-sidang-perceraian-kuasa-hukum-puput-tidak-ada-kabar-dan-alasan,"TRIBUNNEWS.COM - Sidang lanjutan perceraian Doddy Sudrajat dengan Puput kembali digelar pada Senin (28/3/2022) kemarin di Pengadilan Agama Jakarta Pusat.Namun, Doddy Sudrajat kembali absen dalam sidang yang beragendakan mediasi tersebut.Kuasa hukum Puput Sudrajat, Halim Perdana Kusuma mengatakan bahwa Doddy sudah dipanggil secara patut oleh pengadilan.Sidang lalu diketahui masih beragendakan mengenai alasan perceraian dari Puput Sudrajat dan hak asuh anak.Dikutip dari YouTube Cumicumi, Selasa (29/3/2022), Halim Perdana Kusuma mengatakan bahwa Doddy tak ada kabar.Pihak Puput pun menyerahkan sepenuhnya hasil persidangan kepada pengadilan.Apabila nantinya pengadilan memberikan putusan verstek, pihak Doddy Sudrajat sebagai tergugat harus menerima.""Tidak ada kabar ya, baik dari pengadilan juga maupun dari Mbak Puput juga nggak ada komunikasi ya, kehadirannya, alasannya nggak ada.""""Prinsipnya kita ngikutin dari pengadilan aja ya, apa yang diputuskan oleh pengadilan ya kita jalani.""""Terkait verstek atau tidaknya, kita lihat aja nanti, kalau tergugat nggak hadir, kalau verstek harus putus seperti itu ya harus kita terima,"" terang Halim Perdana Kusuma."
2,Rina Ayu Panca Rini,"Dipecat IDI, Dokter Terawan Bersikap, Serahkan Keputusan Pada Teman Sejawat, Berharap Tak Ada Kisruh",29 Maret 2022 08:32 WIB,https://www.tribunnews.com/kesehatan/2022/03/29/dipecat-idi-dokter-terawan-bersikap-serahkan-keputusan-pada-teman-sejawat-berharap-tak-ada-kisruh,"TRIBUNNEWS.COM, JAKARTA -- Mantan Menteri Kesehatan periode 2019-2020 Terawan Agus Putranto merespon soal pemecatan dirinya dari keanggotaaan Ikatan Dokter Indonesia (IDI).Tim Komunikasi Terawan memberikan keterangan pada media soal sikap Terawan.Dalam tulisan berjudul Terawan Anggap IDI Sebagai Rumah Kedua dan Para Dokter Saudara kandung.Disampaikan Andi, meski tahu bakal dicoret dari keanggotaaan IDI, Terawan pada hari ini 28 Maret 2022, masih berpraktek menangani pasien di Rumah Sakit Dinas Kesehatan Tentara (RSDKT) Slamet Riyadi Solo, Jawa Tengah.“Sampai hari ini saya masih sangat bangga dan merasa terhormat berhimpun disana (IDI),” kata Terawan, seperti ditirukan Andi, Senin, 28 Maret 2022.Menurut Terawan, IDI telah menjadi rumah kedua, tempatnya bernaung, bersama saudara-saudara sejawat dokter lainnya.“Pak Terawan mengimbau, teman-teman sejawat dan yang lain agar bisa menahan diri untuk tidak menimbulkan kekisruhan publik, karena kita masih menghadapi pandemic Covid -19. Kasian masyarakat dan saudara-saudara sejawat yang di daerah, Puskesmas, rumah sakit, dll, ikut terganggu” ujarnya.Terawan Singgung Sumpah DokterTerawan juga menyinggung soal sumpah dokter yang dijadikan landasan dalam setiap langkah.""Saya sudah disumpah akan selalu membaktikan hidup saya guna perikemanusiaan, mengutamakan kesehatan pasien dan kepentingan masyarakat,"" ujar Andi.Terawan juga menyampaikan sangat menyayangi saudara-saudara sejawatnya dan hormat kepada para guru."
3,Febia Rosada Fitrianum,"Minta Maaf usai Tampar Chris Rock, Will Smith Akui Malu: Tindakan Saya Tidak Dapat Diterima",29 Maret 2022 09:05 WIB,https://www.tribunnews.com/seleb/2022/03/29/minta-maaf-usai-tampar-chris-rock-will-smith-akui-malu-tindakan-saya-tidak-dapat-diterima,"TRIBUNNEWS.COM - Aktor Will Smith akhirnya sampaikan permintaan maaf usai tampar Chris Rock.Diketahui aksi tersebut terjadi di panggung Piala Oscar 2022, Minggu (27/3/2022) malam.Lewat Instagramnya, Will Smith menerangkan kekerasan dalam bentuk apapun tidak dibenarkan.Begitu pula dengan sikapnya, saat menampar Chris Rock di panggung Piala Oscar 2022.Ia menegaskan, candaan soal kesehatan sang istri, Jada Pinkett Smith sangat sensitif.Sehingga dirinya langsung bereaksi secara emosional setelah mendengar lelucon Chris Rock.""Violence in all of its forms is poisonous and destructive.My behavior at last night’s Academy Awards was unacceptable and inexcusable.Jokes at my expense are a part of the job, but a joke about Jada’s medical conditionwas too much for me to bear and I reacted emotionally,"" tulis Will Smith."
4,Lanny Latifah,"H-2 Ditutup, Segera Lapor SPT Pajak Tahunan di djponline.pajak.go.id, Ini Cara Mudah Dapat EFIN",29 Maret 2022 08:52 WIB,https://www.tribunnews.com/bisnis/2022/03/29/h-2-ditutup-segera-lapor-spt-pajak-tahunan-di-djponlinepajakgoid-ini-cara-mudah-dapat-efin,"TRIBUNNEWS.COM - Bagi Warga Negara Indonesia (WNI) pemilik Nomor Pokok Wajib Pajak (NPWP) diwajibkan untuk segera mengisi laporan Surat Pemberitahuan Tahunan (SPT) Pajak.Lapor Surat Pemberitahuan Tahunan (SPT) Pajak dapat dilakukan secara online dengan mengakses djponline.pajak.go.id.Batas akhir lapor SPT Pajak Tahunan adalah 31 Maret 2022 untuk PPh orang pribadi dan 30 April 2022 untuk PPh badan.Namun, jika terlambat atau tidak melaporkan SPT Pajak Tahunan akan ada sanksi berupa denda dengan besaran tertentu.Adapun untuk wajib pajak orang pribadi akan dikenakan denda sebesar Rp 100 ribu.Berikut dokumen yang disiapkan sebelum Lapor SPT Tahunan:1. Bukti pemotongan pajak;2. Daftar penghasilan;3. Daftar harta dan utang;4. Daftar tanggungan keluarga;"
5,chaerul umam,Usulan Penerapan e-Voting dalam Pemilu 2024 Perlu Kajian Komprehensif,29 Maret 2022 10:22 WIB,https://www.tribunnews.com/nasional/2022/03/29/usulan-penerapan-e-voting-dalam-pemilu-2024-perlu-kajian-komprehensif,"Laporan Wartawan Tribunnews.com, Chaerul UmamTRIBUNNEWS.COM, JAKARTA - Menteri Komunikasi dan Informatika Johnny G Plate mengusulkan pemungutan suara dalam pemilihan umum (Pemilu) 2024 menerapkan sistem internet voting atau e-voting.Menanggapai hal itu, Anggota Komisi II DPR RI Fraksi PAN Guspardi Gaus mengatakan, gagasan penerapan e-voting sebagai metode pemungutan suara dalam sistem Pemilu di Indonesia memang bagus.Namun, penerapannya pada Pemilu 2024 masih perlu pertimbangan dan kajian secara matang serta komprehensif.Menurutnya, penerapan e-voting pada Pemilu 2024 tidak bisa serta merta diterapkan di seluruh daerah di Indonesia.Selain masalah teknologi, pelaksanaan e-voting, harus mempertimbangkan kesiapan pemerintah daerah dari segi infrastruktur dan kesiapan sumber daya manusia dan lain sebagainya.""Secara bertahap mungkin bisa dilaksanakan tergantung kesiapan daerah masing-masing,"" kata Guspardi kepada wartawan, Selasa (29/3/2022).Politikus asal Sumatera Barat ini menjelaskan, beberapa negara memang telah menerapkan e-voting seperti Estonia, Kanada, India dan Filipina.Tetapi ada juga negara yang malah meninggalkan sistem e-voting dan berbalik lagi memakai sistem konvensional seperti negara Jerman dan Belanda.Pada pelaksanaan Pemilu 2024 lebih baik penyelenggara pemilu lebih fokus menyempurnakan Sistem Informasi Rekapitulasi Elektronik (Sirekap) sebagai sistim digital rekapitulasi dalam mempercepat proses perhitungan hasil suara pemilu."
6,Choirul Arifin,Cerita Tentang Dugaan Roman Abramovich Diracun Saat Ikuti Perundingan Damai Rusia-Ukraina,29 Maret 2022 08:53 WIB,https://www.tribunnews.com/internasional/2022/03/29/cerita-tentang-dugaan-roman-abramovich-diracun-saat-ikuti-perundingan-damai-rusia-ukraina,"TRIBUNNEWS.COM, JAKARTA - Miliarder Rusia Roman Abramovich menderita gejala  keracunan saat mengikuti  pembicaraan damai di perbatasan Ukraina-Belarus awal bulan ini.Kabar tersebut disampaikan oleh sebuah sumber yang dekat dengan Abramovich.BBC mengabarkan, pemilik klub sepakbola Chelsea FC tersebut kini telah pulih. Dia dikabarkan mengalami sakit mata dan kulit mengelupas. Dua negosiator perdamaian Ukraina juga dikatakan terpengaruh oleh dugaan racun tersebut.Satu laporan mengatakan dugaan peracunan itu diatur oleh kelompok garis keras Rusia yang ingin menyabotase pembicaraan.Tidak berselang lama setelah tuduhan itu muncul, seorang pejabat AS yang tidak disebutkan namanya dikutip oleh Reuters mengatakan bahwa intelijen menyarankan gejala pria itu karena faktor ""lingkungan"", bukan keracunan.Seorang pejabat di kantor kepresidenan Ukraina, Ihor Zhovkva, mengatakan kepada BBC, meskipun dia tidak berbicara dengan Abramovich, anggota delegasi Ukraina ""baik-baik saja"" dan salah satunya mengatakan cerita itu ""palsu"".Koresponden keamanan BBC Frank Gardner menyatakan, tidak mengherankan bahwa AS ingin meredam anggapan bahwa siapa pun - terutama Rusia - telah menggunakan senjata kimia di Ukraina.Karena hal ini dapat mendorong mereka ke tindakan pembalasan yang sangat enggan mereka lakukan.Kondisi Abramovich dan negosiator Ukraina, termasuk anggota parlemen Ukraina Rustem Umerov, telah membaik sejak insiden pada 3 Maret, sebut sumber yang dikutip Wall Street Journal.Sebuah sumber yang dekat dengan Abramovich mengatakan kepada BBC bahwa dia sekarang telah pulih dan melanjutkan negosiasi untuk mencoba dan mengakhiri perang di Ukraina.Insiden itu menyoroti peran Abramovich yang dilaporkan sebagai perantara dalam pembicaraan antara Ukraina dan Rusia. Sifat pasti posisinya tidak jelas, tetapi juru bicara oligarki sebelumnya mengatakan pengaruhnya ""terbatas""."
7,Arif Tio Buqi Abdulah,2 Jenis Pelanggaran di Jalan Tol yang akan Dikenai Tilang Elektronik ETLE,29 Maret 2022 10:22 WIB,https://www.tribunnews.com/nasional/2022/03/29/2-jenis-pelanggaran-di-jalan-tol-yang-akan-dikenai-tilang-elektronik-etle,"TRIBUNNEWS.COM - Tilang ETLE bagi pengendara di jalan tol akan diberlakukan mulai 1 April 2022.Standar operasional pelaksanaan tilang elektronik di jalan tol ini sama dengan ETLE yang sudah tergelar sebanyak 244 kamera di sejumlah jalan raya.Jadi, setelah di capture pelanggaran tersebut akan masuk ke back office Korlantas untuk divalidasi lanjut diverifikasi.Setelah itu dikirim surat konfirmasi diantar ke alamat kendaraan tersebut.Sebelum benar-benar diimplementasikan, Korlantas Polri sebelumnya telah melakukan sosialisasi sejak 1 Maret lalu.“Kita sudah melakukan sosialisasi sejak 1 Maret, sesuai dengan peraturan Kakorlantas itu 30 hari untuk sosialisasi. Tanggal 1 April ini artinya akan diimplementasikan melalui ETLE Nasional,” ujar irgakkum Korlantas Polri Brigjen Pol Aan Suhanan, dilansir laman korlantas.polri.go.id.Jenis PelanggaranSaat ini ada dua jenis pelanggaran di jalan tol yang akan ditindak melalui ETLE.Pertama, yakni pelanggaran overload di sepanjang tol Transjabar.Kedua, pelanggaran Overspeed di tol Trans Jawa dan Trans Sumatera."
8,Nanda Lusiana Saputri,"Kesaksian Keluarga V yang Tewas Dihabisi Suami, Bukan Pelaku yang Belikan HP Korban hingga KDRT",29 Maret 2022 10:21 WIB,https://www.tribunnews.com/regional/2022/03/29/kesaksian-keluarga-v-yang-tewas-dihabisi-suami-bukan-pelaku-yang-belikan-hp-korban-hingga-kdrt,"TRIBUNNEWS.COM - Fakta baru kasus pembunuhan wanita berinisial NAS alias V (27) oleh suaminya sendiri, TO (30) terungkap.Ternyata Handphone (HP) yang disinggung sebagai penyebab retaknya rumah tangga mereka bukan dibelikan oleh pelaku.Fakta lain, sebelum pembunuhan terjadi, korban kerap menerima tindak kekerasan dari pelaku.Diketahui, pembunuhan itu terjadi di Kecamatan Bindu Riang, Kabupaten Rejang Lebong, Bengkulu, Sabtu (26/3/2022).HP dari Saudara Kembar KorbanSebelumnya, dari pengakuan pelaku, korban berubah sikap setelah dibelikan HP oleh pelaku.Namun, ternyata HP tersebut bukanlah dari pelaku, melanikan dari saudara kembar korban, Vini.""Handphone milik V (korban) itu merupakan handphone saya dulu,"" kata Vini saat ditemui Tribun Bengkulu di kediamannya, Senin (28/3/2022).Vini mengatakan, korban sangat mencintai keluarganya.""V (korban) sangat mencintai keluarganya, terutama anaknya, dirinya tidak pernah selingkuh selama bercerita dengan saya."""
9,Sanusi,Mengintip Segmen Bisnis yang Jadi Sumber Pendapatan Gojek Tokopedia,29 Maret 2022 10:21 WIB,https://www.tribunnews.com/techno/2022/03/29/mengintip-segmen-bisnis-yang-jadi-sumber-pendapatan-gojek-tokopedia,"TRIBUNNEWS.COM, JAKARTA - Proses initial public offering (IPO) yang digelar oleh PT GoTo Gojek Tokopedia Tbk (GOTO) sukses menarik perhatian publik. Meski dari sisi bottom line masih menanggung kerugian, tapi pendapatan GOTO menunjukkan tren kenaikan.Dalam ringkasan laporan keuangan per 30 September 2021, GOTO membukukan pendapatan bersih senilai Rp 3,40 triliun. Meningkat 45,29% dibandingkan pendapatan bersih per September 2020 yang sebesar Rp 2,34 triliun.Namun, kenaikan pendapatan bersih itu belum mampu memangkas rugi bersih yang diderita GOTO. Dalam periode sembilan bulan 2021, rugi diatribusikan kepada pemilik entitas induk GOTO tercatat sebesar Rp 11,57 triliun, naik 11,03% dibanding rugi Rp 10,42 triliun pada periode yang sama tahun 2020.Adapun dalam kurun tahun 2018-2020, GOTO masih mencatatkan kerugian di level double digit. Pada tahun 2018, GOTO membukukan rugi bersih sebesar Rp 11,24 triliun.Rugi bersih GOTO melesat menjadi Rp 22,76 triliun pada 2019. Setahun kemudian, GOTO berhasil memangkas kerugian bersihnya menjadi Rp 14,20 triliun di akhir tahun 2020.Dalam periode 2018-2020, pendapatan bersih GOTO sebenarnya juga terus mengalami kenaikan. Dari Rp 1,43 triliun pada 2018, naik menjadi Rp 2,30 triliun pada 2019. Kemudian meningkat lagi menjadi Rp 3,32 triliun pada 2020.Sumber pendapatanMerujuk laporan keuangan per Juli 2021, GOTO membukukan pendapatan bruto sebesar Rp 6,89 triliun. Meningkat 40,89% dibandingkan periode yang sama tahun 2020.Dalam laporan tersebut, pendapatan GOTO mayoritas berasal dari imbalan jasa senilai Rp 5,03 triliun atau berkontribusi sebanyak 73% terhadap total pendapatan bruto.Pendapatan GOTO lainnya bersumber dari jasa pengiriman sebesar Rp 892,60 miliar, imbalan iklan Rp 378,52 miliar, imbalan transaksi dan pembayaran sebanyak Rp 336,62 miliar, penjualan barang dagangan sebesar Rp 35,67 miliar, serta lain-lain yang mencapai Rp 221,01 miliar."
